YearStart,state,Alcohol use among youth,Computer use among high school students,Soda consumption among high school students,Obesity among high school students
2015,Alabama,30.7,38.2,28.2,16.1
2015,Alaska,22,34.3,18.8,14
2015,Arizona,34.8,40.5,19.5,10.9
2015,Arkansas,27.6,41.2,29.3,18
2015,Connecticut,30.2,37.8,11.9,12.3
2015,Florida,33,42.2,20.8,12.3
2015,Hawaii,25.1,40.6,13.4,12.9
2015,Idaho,28.3,33.7,13.5,11.1
2015,Illinois,30.7,36.9,18.3,12.6
2015,Kentucky,28.5,40.1,32.4,18.5
2015,Maryland,26.1,38.3,16.6,11.5
2015,Massachusetts,33.9,43.2,13.8,11
2015,Michigan,25.9,40.6,18.9,14.3
2015,Mississippi,31.5,34.1,29.4,18.9
2015,Missouri,34.5,37.4,21.1,13.1
2015,Montana,34.2,34.2,18.6,10.3
2015,Nebraska,22.7,31.5,20.4,13
2015,Nevada,33.5,36.7,13.7,12.2
2015,New Mexico,26.1,38.9,21,15.6
2015,New York,29.7,37.2,14,13.1
2015,North Carolina,29.2,42.3,26.8,16.4
2015,North Dakota,30.8,38.6,18.7,14
2015,Oklahoma,27.3,45.6,29.4,17.3
2015,Rhode Island,26.1,40,12.6,12
2015,South Carolina,24.6,39.5,26.7,16.3
2015,South Dakota,28,37.8,23.2,14.7
2015,Virginia,23.4,41.9,17,13
2015,West Virginia,31.1,43.4,30.1,17.9
2015,Wyoming,31,30.1,21.2,11
2013,Alabama,35,39.8,33.2,17.1
2013,Alaska,22.5,33.5,15.8,12.4
2013,Arizona,36,36.9,19.7,10.7
2013,Arkansas,36.3,29.3,31.2,17.8
2013,Connecticut,36.7,36.7,13.9,12.3
2013,Florida,34.8,40.9,22.1,11.6
2013,Hawaii,25.2,42.1,15.8,13.4
2013,Idaho,28.3,27.7,15.4,9.6
2013,Illinois,36.6,36.7,22,11.5
2013,Kentucky,30.4,34.5,32.9,18
2013,Maryland,31.2,36.3,18,11
2013,Massachusetts,35.6,38.8,14.2,10.2
2013,Michigan,28.3,34.1,19.6,13
2013,Mississippi,32.9,46.2,37.1,15.4
2013,Missouri,35.6,32.7,23.4,14.9
2013,Montana,37.1,29.7,18.2,9.4
2013,Nebraska,22.1,28.1,22.3,12.7
2013,Nevada,34,38,17,11.4
2013,New Mexico,28.9,35.3,21.2,12.6
2013,New York,32.5,39.5,20.4,10.6
2013,North Carolina,32.2,42.4,28,12.5
2013,North Dakota,35.3,34.4,23.4,13.5
2013,Oklahoma,33.4,43,31.3,11.8
2013,Rhode Island,30.9,38.5,17.4,10.7
2013,South Carolina,28.9,37.7,29.2,13.9
2013,South Dakota,30.8,33.2,23.6,11.9
2013,Virginia,27.3,38,21.7,12
2013,West Virginia,37.1,41.6,38,15.6
2013,Wyoming,34.4,31.3,24.3,10.7
